Species,Parameter,Value,Range,Citation,doi,Location,Time period,Sex-specific?,Notes
Antarctic fur seal (Arctocephalus gazella),AgeMat,3,,Wickens and York (1997),10.1111/j.1748-7692.1997.tb00631.x,1992-1993,,Female,from Boyd Table 1
Australian fur seal (Arctocephalus pusillus doriferus),AgeMat,4,,Wickens and York (1997),10.1111/j.1748-7692.1997.tb00631.x,1992-1993,,Female,from Boyd Table 1
Brown/ cape fur seal (Arctocephalus pusillus pusillus),AgeMat,4,,Wickens and York (1997),10.1111/j.1748-7692.1997.tb00631.x,1992-1993,,Female,from Boyd Table 1
California sea lion (Zalophus californianus),AgeMat,4,,"Melin et al. 2012, cited in DeLong et al. 2017",10.1111/mms.12427,"San Miguel, CA",,Females,Age at first birth
Crabeater seal (Lobodon carcinophaga),AgeMat,,2.5,Boveng (1993),none; PhD thesis,,,Female,from Boyd Table 1
Galapagos fur seal (Arctocephalus galapagoensis),AgeMat,5,,Wickens and York (1997),10.1111/j.1748-7692.1997.tb00631.x,1992-1993,,Female,from Boyd Table 1
Gray seal (Halichoerus grypus),AgeMat,,5-7,"Harwood and Prime (1978) ;Boyd (1985) ; Pomeroy et al.(1999)",multiple,multiple,,Female,from Boyd Table 1
Gray seal (Halichoerus grypus),AgeMat,5.5,5.38-5.62,Hammill & Gosselin 1995,https://doi.org/10.1139/f95-864,Northwest Atlantic,1968-1992,Females,Age at first pregnancy; based on number of pregnancies and presence of corpus luteum (5.5 +/- 0.12 yr)
Gray seal (Halichoerus grypus),AgeMat,,5-6 yr,Hammill & Gosselin 1995,https://doi.org/10.1139/f95-864,Northwest Atlantic,1968-1992,Males,
Guadalupe fur seal (Arctocephalus townsendi),AgeMat,NA,,Wickens and York (1997),10.1111/j.1748-7692.1997.tb00631.x,1992-1993,,Female,from Boyd Table 1
Harbor seal (Phoca vitulina),AgeMat,4,,Hastings et al. 2012,10.1644/11-MAMM-A-291.1,Tugidak Island; GoA,2000-2007,Females,
Harbor seal (Phoca vitulina),AgeMat,,3-7 years,NOAA species fact sheet,,West Coast US,unknown,NA,
Harp seal (Pagophilus groenlandicus),AgeMat,8,,Hammill et al. 2015,10.1016/j.biocon.2015.09.016,Northwest Atlantic,,,
Harp seal (Pagophilus groenlandicus),AgeMat,,4.8,"Bowen et al. (1981) ; Kjellgwistet al. (1995)",multiple,multiple,,Female,from Boyd Table 1
Juan Fernández fur seal (Arctocephalus philippii),AgeMat,NA,,Wickens and York (1997),10.1111/j.1748-7692.1997.tb00631.x,1992-1993,,Female,from Boyd Table 1
New Zealand fur seal (Arctocephalus forsteri),AgeMat,5,,Wickens and York (1997),10.1111/j.1748-7692.1997.tb00631.x,1992-1993,,Female,from Boyd Table 1
Northern elephant seal (Mirounga angustirostris),AgeMat,,3-4,"Huber et al. (1991) ;Reiter and Le Boeuf (1991);Le Boeuf et al. (1994)",multiple,multiple,,Female,from Boyd Table 1
Northern fur seal (Callorhinus ursinus),AgeMat,,3-7 years,COSEWIC report,https://www.sararegistry.gc.ca/virtual_sara/files/cosewic/sr_northern_fur_seal_2011_eng.pdf,Canada,,Males,Can't hold territory until 8-9 years old (Gentry 1998)
Northern fur seal (Callorhinus ursinus),AgeMat,,3-7 years,COSEWIC report,https://www.sararegistry.gc.ca/virtual_sara/files/cosewic/sr_northern_fur_seal_2011_eng.pdf,,,Females,Fecundity decreases after 13 years
Northern fur seal (Callorhinus ursinus),AgeMat,,3-4,Wickens and York (1997),10.1111/j.1748-7692.1997.tb00631.x,1992-1993,,Female,from Boyd Table 1
Ringed seal (Pusa hispida),AgeMat,,6-8,Smith (1987),book,,,Female,from Boyd Table 1
South American fur seals (Arctocephalus australis),AgeMat,3,,Wickens and York (1997),10.1111/j.1748-7692.1997.tb00631.x,1992-1993,,Female,from Boyd Table 1
South American sea lion (Otaria flavescens),AgeMat,4,,"Sepulveda, pers. comm.",NA,,,Female,
South American sea lion (Otaria flavescens),AgeMat,7,,"Sepulveda, pers. comm.",NA,,,Male,"""social maturity"""
Southern elephant seal (Mirounga leonina),AgeMat,,4-5,"McCann (1985) ; Hindell (1991) ;Galimberti and Boitani (1999)",multiple,multiple,,Female,from Boyd Table 1
Steller sea lion (Eumetopias jubatus),AgeMat,,4-5,York (1994),10.1111/j.1748-7692.1994.tb00388.x,1992-1993,,Female,from Boyd Table 1
Subantarctic fur seal (Arctocephalus tropicalis),AgeMat,5,,Wickens and York (1997),10.1111/j.1748-7692.1997.tb00631.x,1992-1993,,Female,from Boyd Table 1
Weddell seal (Leptonychotes weddellii),AgeMat,,6-8,"Testa (1987) ; Testa and Siniff(1987) ; Testa et al. (1990) ;Hastings and Testa (1998)",multiple,multiple,,Female,from Boyd Table 1
