en,es,fr,latin
Bowhead whale,Ballena boreal,Baleine boréale,Balaena mysticetus
Bottlenose dolphin,Delfín nariz de botella,Grand dauphin,Tursiops truncatus
Humpback,Ballena jorobada,Baleine à bosse,Megaptera novaeangliae
Phocid seal,Foca,Phoque commun,Phoca vitulina
Fur seal,Lobo fino o de dos pelos,Otarie à fourrure,Arctocephalus pusillus pusillus
Sea lion,Lobo común o de un pelo,Lion de mer,Zalophus californianus
Porpoise,Marsopa,Marsouin,Phocoena phocoena
Minke whale,Ballena minke,Petit rorqual,Balaenoptera bonaeresis
False killer whale/killer whale,Orca,Fausse orque/orque,Orcinus orca
Pilot whale,Calderón,Globicéphales,Globicephala macrorhynchus
Right whale,Ballena franca,Baleine franche,Eubalaena glacialis
